Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
77,9M4RTH,147.8625,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
78,9M4RCH,145.45,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
79,9M4RCA,147,-,0.6,Tone,118.8,118.8,23,NN,FM,5,,,,,,
80,9M4RLT,146.6125,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
81,9M4RXA,439.675,-,5,Tone,88.5,88.5,23,NN,FM,5,,,,,,
82,9M4RXB,439.575,-,5,Tone,88.5,88.5,23,NN,FM,5,,,,,,
83,9M4RXC,439.475,+,5,Tone,88.5,88.5,23,NN,FM,5,,,,,,
84,9M4RSP,146.8125,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
85,9M4RPI,147.2625,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
86,9M4RBL,146.75,+,0.65,Tone,103.5,103.5,23,NN,FM,5,,,,,,
87,N9,145.7,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
88,9M4RNS,145.375,-,0.6,Tone,233.6,233.6,23,NN,FM,5,,,,,,
89,9M4RTB,146.675,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
90,MELAKA,145.7,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
91,9M4RHE,146.8,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
92,9M4RUM,439.825,-,5,Tone,203.5,88.5,23,NN,FM,5,,,,,,
93,9M4RML,439.44,+,5,Tone,127.3,127.3,23,NN,FM,5,,,,,,
94,9M4RMA,147.925,-,0.6,Tone,85.4,127.3,23,NN,FM,5,,,,,,
95,9M4RKA,146.625,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
96,JOHOR,145.7,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
97,9M4RLD,147.7,-,0.6,Tone,127.3,127.3,23,NN,FM,5,,,,,,
98,9M2RGL,145.525,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
99,9M4RSG,145.6125,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,,,,,
100,9M4RAJ,146.6875,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
101,9M4RGL,147.9875,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
102,9M4RMR,146.925,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
103,9M2RBP,145.7,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
104,9M4RAK,147.8,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
105,9M4RLM,145.425,-,0.6,Tone,203.5,88.5,23,NN,FM,5,,,,,,
106,9M2RGP-L,147.825,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
107,9M4RLK,147.6125,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
108,9M2RGP,147.75,-,0.6,Tone,203.5,88.5,23,NN,FM,5,,,,,,
109,9M4RJM,146.9,-,0.6,Tone,127.3,127.3,23,NN,FM,5,,,,,,
110,9M4RAU,146.75,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
111,9M4RAM,147.8625,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
112,PAHANG,145.7,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
113,9M4RGB,145.6125,-,0.6,Tone,103.5,88.5,23,NN,FM,5,,,,,,
114,9M4RLS,147.9125,-,0.6,Tone,203.5,88.5,23,NN,FM,5,,,,,,
115,9M4RCC,145.6,-,0.6,Tone,118.8,118.8,23,NN,FM,5,,,,,,
116,9M4RTS,147.675,-,0.6,Tone,103.5,88.5,23,NN,FM,5,,,,,,
117,9M4RCA,147,-,0.6,Tone,118.8,88.5,23,NN,FM,5,,,,,,
118,9M4RAA,147.6125,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
119,9M4RCY,145.7125,-,0.6,Tone,118.8,118.8,23,NN,FM,5,,,,,,
120,9M4RBI,147.8,-,0.6,Tone,118.8,118.8,23,NN,FM,5,,,,,,
121,9M4RSM,147.9625,-,0.6,Tone,233.6,233.6,23,NN,FM,5,,,,,,
122,9M4RCZ,146.85,-,0.6,Tone,118.8,118.8,23,NN,FM,5,,,,,,
123,9M4RCE,146.1,-,0.6,Tone,118.8,118.8,23,NN,FM,5,,,,,,
124,9M4RCD,147.7,-,0.6,Tone,118.8,118.8,23,NN,FM,5,,,,,,
125,T GANU,145.7,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
