Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
33,EQUATORIAL HOTEL,439.825000,-,5.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"9M4RMU near MELAKA, None OPEN",,,,
34,GRAND MARGHERITA HOTEL,439.850000,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4REW near KUCHING, None OPEN",,,,
35,Gunung Kinabalu,439.850000,-,5.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGK near Ranau, None OPEN MARTS Repeater Linking Network",,,,
36,9M2RKL-DMR,439.150000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"9M2RKL-DMR near BUKIT LANJAN, None OPEN Connected to Brandmiester Network for now.",,,,
37,9M4RPH,147.950000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"9M4RPH near Penang Hill, None OPEN",,,,
38,9M2RGP,147.825000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RGP near GUNUNG PULAI, None OPEN",,,,
39,9M4RCA,147.000000,+,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RCA near BUKIT BRINCHANG, None OPEN",,,,
40,KUALA LIPIS,146.850000,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RCZ near BUKIT BIUS, None OPEN",,,,
41,9M4RJB,145.775000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RJB near JOHOR BAHRU, None OPEN",,,,
42,9M4RJN,145.700000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RJN near GUNUNG BANANG, None OPEN",,,,
43,9M4RLD,147.700000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLD near GUNUNG LEDANG, None OPEN",,,,
44,9M4RPL,146.650000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RPL near GUNUNG PULAI, None OPEN",,,,
