Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,V40,145.5,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,,,,,
2,APRS,144.39,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,,,,,
3,KL,145,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,10,,50W,,,,,
4,9M2RKL,439.6,-,5,Tone,203.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,"9M2RKL near BUKIT LANJAN, None OPEN",,,,
5,9M2RKL-L1,439.85,-,5,Tone,203.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,"9M2RKL-L1 near BUKIT LANJAN, None OPEN",,,,
6,9M2RKL-DMR,439.15,-,5,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,"9M2RKL-DMR near BUKIT LANJAN, None OPEN Connected to Brandmiester Network for now.",,,,
7,9M4RZS,147.65,-,0.6,Tone,233.6,88.5,23,NN,23,Tone->Tone,FM,5,,50W,"9M4RZS near BUKIT PERMAI, None OPEN",,,,
8,9M2RKK,147.98,-,0.6,Tone,203.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,"9M2RKK near BUKIT LANJAN, None OPEN",,,,
9,9M2RUK,146.9875,-,0.6,Tone,203.5,88.5,23,NN,23,Tone->Tone,FM,12.5,,50W,"9M2RUK near GUNUNG ULU KALI, None OPEN",,,,
10,9M4RLG,147.9,-,0.6,Tone,203.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,"9M4RLG near GUNUNG ULU KALI, None OPEN MARTS Linking",,,,
11,9M4RBC,147.75,-,0.6,Tone,85.4,88.5,23,NN,23,Tone->Tone,FM,5,,50W,"9M4RBC near GUNUNG ULU KALI, None OPEN ASTRA Local",,,,
12,9M4RES,147.775,-,0.6,Tone,123,88.5,23,NN,23,Tone->Tone,FM,5,,50W,"9M4RES near GUNUNG ULU KALI, None OPEN",,,,
13,9M4RGH,145.675,+,0.6,Tone,103.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,"9M4RGH near GENTING HIGHLAND, None OPEN ASTRA Transnasional",,,,
14,PHG,145,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,10,,50W,,,,,
15,9M4RCH,146.9875,-,0.6,Tone,203.5,88.5,23,NN,23,Tone->Tone,FM,12.5,,50W,"9M4RCH near BUKIT BRINCHANG, None OPEN",,,,
16,9M4RLS,146.9,-,0.6,Tone,203.5,88.5,23,NN,23,Tone->Tone,FM,5,,50W,"9M4RLS near BUKIT SULAI, None OPEN MARTS Linking",,,,
